Questions,Answers
The most popular temple in terms of attractions is located in what part of the city?,western part of Guwahati city
What was the English football club Tottenham Hotspur  that Leonard Francis played for commonly referred to as ?,Spurs
" ""One Less Set of Footsteps"" is a song written and performed by a singer born in which year ?",1943
Where is the basketball team that Mike DiNunno plays for based ?,Ellesmere Port
What was the 2016 population of the city on the Bay Fundy which had an office of the Bank of British North America?,"67,575"
SkyJump Las Vegas is located at a hotel on what street?,Las Vegas Boulevard
"Jessica Jones is a television series created for Netflix, the second in the series of the shows that lead to ""The Defenders"" miniseries after what show released on Netflix earlier?",Daredevil
Who did the actor that plays Sean Tully defeat in a dancing contest?,Jodie Prenger
What did Pioneer 4 fly by before inserting into the type orbit that planets of the Solar System are in around the sun?,Moon's surface
"What is the name of the second largest car rental company, that also has another low cost car rental company it oversees?",Hertz
Are Myles Kennedy and SafetySuit both associated with rock bands?,yes
What other country does the league that Taylor Eric Kemp played in represents the sport's highest level besides the United States?,Canada
How many people live in the County serviced by The Collier Area Transit system?,"321,520"
"Of the retired tennis players Ross Case and Slobodan Živojinović, which player reached a higher career-high singles ranking?",Ross Case
"""Clydebuilt"" is on the south bank of what river?",the River Clyde
What party was the secretary of commerce and housing under the 42 Governor of Kansas?,Republican
where is a  football club which Aly Mohamed play for from ,United Arab Emirates
Kevin House Jr. played professionally for the team that is in what NFL conference?,National Football Conference (NFC) West
Raiffeisen Zentralbank is the central institution of one a group of co-operative banks in Austria. What is the name of the other group?,Austrian Volksbanks
What 1944 Bollywood film was the mother of Bollywood actor Govinda in?,Geet or The Song
Who is the television producer who created a 2011 American film based on a novel by Hunter S Thompson?,Colin Vaines
"Which species is the most numerous, Podocarpus or Osmunda? ",Podocarpus
By what name is the King that Gothard Wilhelm Butler was captain of the guard for known in Poland?,Jan Kazimierz
"Spawn, a fictional character who Mustafa Shakir has expressed interest in playing, was created by?",Todd McFarlane
In what european city is a location of the college from which the woman known as Comic Book Girl 19 received her degree?,"Lacoste, France"
What was the size of the 1700 Cascadia earthquake predicted by Kenji Satake?,8.7
Carlos Alberto Hurtado played on loan from a mexican team which plays where?,Estadio Victoria
The casino owner who was focused on the documentary Nobody Speak: Trials of the Free Press focuses belongs to which nationality? ,American
Which group did Masta Kill released Selling My Soul under?,Wu-Tang Clan
Are Harry Everett Smith and Vladimir Danilevich both from Russia?,no
"The royal anthem is changed from what to ""long live our noble Duke""?",Long live our noble Queen
What is the origin of the National Space Olympiad and Kalpana Chawla ?,Indian
"Who was born first, Marino Girolami or Daniel Myrick?",Marino Girolami
When was the New Orleans Pelicans player featured on the NBA 2K16 cover first drafted?,2012
"The 2014 All-Pac-12 Conference football team featured players from the team led by which second-year head coach, who led his team to the conference title?",Mark Helfrich
What Cuban American baseball player was suspended in the new steroid policy of the 2005 Major League Baseball season?,Rafael Palmeiro Corrales
The German software corporation who has established Remote Function Call (RFC) has its headquarters in what city?,Walldorf
"What documentary has more creators, The Devil Came on Horseback or My Best Fiend?",The Devil Came on Horseback
"In which year did this Russian actress  who produced and performed in the 1922 American silent drama film ""A Doll's House"" immigrate to the United States?",1905
Is The Moon-Spinners and Oceans both documentaries?,no
The CNN-News18 Indian of the Year award was created by Sagarika Ghose and a news anchor born in what year?,1965
Which district includes the island in New York City's East River which Pete Grannis represented in the New York State Assembly?,represented District 65
Where was the think tank founded by a neoconservative political analyst born in 1952 established?,"Washington, D.C."
"Which documentary was made first, The Shame of a City or Unchained Memories?",Unchained Memories
"when was the retired Jamaican sprinter which Richard Thompson is, 0.99 seconds slower than born ?",born 21 August 1986
Who did an actress from The Secret of NIMH play in A Patch of Blue?,Selina D'Arcy
"In addition to his role in The Fattest Man in Britain, Bobby Ball is best known for his half of the doublt act Cannon and Ball with which other comedian?",Tommy Cannon
"Akademik Lomonosov was named after a Russian polymath, scientist, and writer, who discovered the atmosphere of what planet?",Venus
How many members were in the South Korean boy group whose first official sub-unit is Bastarz?,seven members
What stye of Martial arts did Royler Gracie tutor Maurcio Villardo?,Brazilian jiu-jitsu
Who directed the 2014 American biographical survival drama film which Laura Elizabeth Dern was nominated for the Academy Award for Best Supporting Actress in,Jean-Marc Vallée
What is part of an alternate title to a Three 6 Mafia song and is slang for a concoction which includes prescription-strength cough syrup also known as purple drank?,Sizzurp
What was the first film scored by the man who composed the soundtrack for Udhayam NH4?,Veyyil
How many times have the team that won the 11th DFB-Pokal won the national championship ?,"five times,"
What 2003 Christmas-themed romantic comedy did Gregor Fisher have a role in?,Love Actually
"Arrêtez-moi is a film in which film genre, known for suspense and anxiety?",Thriller
Alex da Kid worked on an a track with Eminem released in what year?,2010
How many books are in the text composed by the founder Nyaya school of Hindu philosophy and is used in the development of Indian logic?,five books
"Beer Wars covers the differences between large corporate breweries, and small breweries, such as what brewery that is headquartered in Escondido, california?",Stone Brewing
Do Lush and P.O.D. both consist of four band members?,yes
"Who has worked for more film companies, Kelly Reichardt or Jacques Tourneur?",Jacques Tourneur
"""Call Me Mañana"" is a song by a group that has sold how many records?",over 30 million
" the movie ""A Cure for Wellness"" was a science fiction?",is a 2016 science fiction psychological horror
Who is the manufacturer of the plane that shot down Jameel Sayhood?,McDonnell Douglas
"Which director won an Academy Award for best director for his work on the film, ""Midnight Cowboy?""",John Schlesinger
Which college football team for the University of Oregon did Enoka Lucas played for ,The Oregon Ducks
What position did the 2004 World Series of Poker gold bracelet holder have in the 2011 Epic Poker League?,Commissioner
What year did a blacklisted screenwriter share an Academy Award with Michael Kanin?,1942
"Which band has more members, Chvrches or Goodbye Mr. Mackenzie?",Goodbye Mr Mackenzie
"WHich college is located in the United States, Grand Valley State University or Carleton University?",Carleton University
"When was the earliest known pottery created in the country which was the native land of Admiral Yi Sun-sin, who conducted the Battle of Happo? ",around 8000 BC
"What year was the man, who is credited for developing a Crescograph, born?",1858
Löwenbräu and Bürgerbräukeller are both located where?,Germany
